"type_" "transf_" "vinit_" "gene_" "" ""
"2" "log2" "20" "HLA-DRA" "0.999999999999732" "2.76945411048501e-10"
"2" "log2" "200" "HLA-DRA" "0.999999999999999" "2.76566824997104e-10"
"1" "log10" "15" "HLA-DRA" "0.999999999999999" "2.76566658463651e-10"
"1" "log10" "20" "HLA-DRA" "0.999999999999411" "2.77399658799027e-10"
"1" "log10" "200" "HLA-DRA" "0.999999999999999" "2.76566824997104e-10"
"2" "log10" "15" "HLA-DRA" "0.999999999999999" "2.76566658463651e-10"
"2" "log10" "200" "HLA-DRA" "0.999999999999999" "2.76566824997104e-10"
"1" "no" "0.1" "HLA-DRB1" "0.999999999999268" "2.7760177490066e-10"
"1" "no" "15" "HLA-DRB1" "0.999999999999295" "2.77562750561344e-10"
"1" "no" "20" "HLA-DRB1" "0.999999999999997" "2.76569489532363e-10"
"1" "no" "100" "HLA-DRB1" "0.999999999999997" "2.76570155666178e-10"
"2" "no" "0.1" "HLA-DRB1" "0.999999999998888" "2.78138068132705e-10"
"2" "no" "15" "HLA-DRB1" "0.99999999999886" "2.78177370027777e-10"
"2" "no" "20" "HLA-DRB1" "0.999999999999995" "2.76573264290647e-10"
"2" "no" "100" "HLA-DRB1" "1" "2.76566214374441e-10"
"1" "log2" "0.1" "HLA-DRB1" "0.999999999999953" "2.76632106110952e-10"
"1" "log2" "200" "HLA-DRB1" "0.999999999999721" "2.76961453771207e-10"
"2" "log2" "0.1" "HLA-DRB1" "0.999999999999976" "2.76600353732448e-10"
"2" "log2" "200" "HLA-DRB1" "0.999999999999812" "2.76831835233082e-10"
"1" "log10" "0.1" "HLA-DRB1" "0.999999999999953" "2.76632605711313e-10"
"1" "log10" "200" "HLA-DRB1" "0.999999999999729" "2.76949352340239e-10"
"2" "log10" "0.1" "HLA-DRB1" "0.999999999999976" "2.76599743109784e-10"
"2" "log10" "200" "HLA-DRB1" "0.999999999999812" "2.76831835233082e-10"
