Case|comparison_pops_|label_|count|mean|std|min|25%|50%|75%|max
Different|CEU - FIN|all_multivar_out|7176,0|0,009849646729528646|0,0033473148599311316|-0,00158329888025593|0,00758502806541391|0,009790873091709498|0,01208469128182604|0,02260125347682791
Different|CEU - FIN|all_orig|8188,0|0,012275573079894245|0,0033544396262795186|0,0011514210010568967|0,009982924901051203|0,012219216759084288|0,014526608938656859|0,02481978905140949
Different|CEU - FIN|all_univar_out|8096,0|0,011490290031130982|0,003344264501233575|8,056196314963098e-05|0,009208685748033952|0,011436689399560811|0,013709906328920525|0,024204728460711276
Different|CEU - FIN|eur_multivar_out|6992,0|-0,006391988281151349|0,0034311347305040125|-0,018850591326885924|-0,008764980734984528|-0,00640009019925412|-0,004132856747949684|0,007319543237457717
Different|CEU - FIN|eur_orig|8188,0|-0,006118186048263562|0,0034113335357216904|-0,018371596100478515|-0,008495064050803174|-0,006146095387291163|-0,003880390799456541|0,007811272943704171
Different|CEU - FIN|eur_univar_out|8096,0|-0,006227174456658614|0,0034106849550181|-0,018457654904932015|-0,00856458439341029|-0,006267358982025304|-0,003979822313000619|0,0075612850588911654
Different|CEU - GBR|all_multivar_out|6552,0|0,014838733578671043|0,0033222825533007765|0,001967220128142432|0,0125689790618105|0,014784956824182459|0,01704711371093437|0,02685790196708571
Different|CEU - GBR|all_orig|7654,0|0,017073059752106424|0,0033210007999958883|0,0050111826370500875|0,014811889407054607|0,017008068988343138|0,01925388849633054|0,033610990064638066
Different|CEU - GBR|all_univar_out|7480,0|0,016382242007669662|0,0033343286868389|0,0037018336585543194|0,014083489565823965|0,016344591148891276|0,018584490202934074|0,032296867398217285
Different|CEU - GBR|eur_multivar_out|6384,0|-0,0012207414126929456|0,0034667611071217946|-0,012549311991905709|-0,003590371128106234|-0,001293526969139251|0,0010931660295375183|0,011413019389722867
Different|CEU - GBR|eur_orig|7654,0|-0,0011922595533454242|0,0034611009522912597|-0,012906158877801345|-0,003562624407555216|-0,0013027793584945422|0,0011166140491767212|0,0155778024970248
Different|CEU - GBR|eur_univar_out|7480,0|-0,0012046726700043547|0,0034744866104723183|-0,012708877232286824|-0,0036152588342213666|-0,0012847573346353898|0,0011353012186136834|0,015209966912392837
Different|CEU - TSI|all_multivar_out|6786,0|0,011159866554826701|0,0030609226238358937|0,0007407070842215925|0,009116427513269602|0,01111575789053702|0,013144663642630028|0,024192384481268432
Different|CEU - TSI|all_orig|8099,0|0,013242884907084897|0,00306878731710767|0,0033783243188432307|0,011182956916488362|0,013198309502537437|0,015281060349771145|0,026647093538746253
Different|CEU - TSI|all_univar_out|7832,0|0,012647518443910549|0,0030623418369748016|0,002566926385558132|0,010594853045629725|0,012605686628948|0,014673588862603757|0,026281364821303378
Different|CEU - TSI|eur_multivar_out|6612,0|-0,0030335415352211567|0,003209094211103506|-0,013422038598328396|-0,005217329653143229|-0,0030858457260316994|-0,0008924338913911086|0,01035897847706712
Different|CEU - TSI|eur_orig|8099,0|-0,003069043859759913|0,003204942170960963|-0,014278982798582564|-0,00523270571576645|-0,003098096299437784|-0,0009578210377079537|0,010559948223585233
Different|CEU - TSI|eur_univar_out|7832,0|-0,003026053204318368|0,0032147800481809445|-0,014382152504744299|-0,005193639776253169|-0,003094083993967308|-0,000867973774454118|0,010587521428594315
Different|CEU - YRI|all_multivar_out|5928,0|-0,06901848858630523|0,002510038061825414|-0,07735291029428876|-0,07074542945265055|-0,06914329030946917|-0,06734874930187046|-0,059874855475868585
Different|CEU - YRI|all_orig|7743,0|-0,07208503261316397|0,002494865583260736|-0,08097231417544862|-0,073772946864835|-0,07222197951785256|-0,07048748540050935|-0,0611409179848981
Different|CEU - YRI|all_univar_out|7392,0|-0,07106744253380354|0,0025338770856469833|-0,07958538066337288|-0,07278423881575635|-0,071148513013544|-0,0694179877829364|-0,06091488244880548
Different|FIN - GBR|all_multivar_out|7728,0|0,009999515931547956|0,003308221512261968|-0,0014299078422928655|0,007745729697078001|0,00992968386013123|0,01221191993162762|0,02304221278590804
Different|FIN - GBR|all_orig|7912,0|0,012552671738547192|0,0032751378714698538|0,000708486953752398|0,010318050323819926|0,01251509740997005|0,014756431677501248|0,025555306026833074
Different|FIN - GBR|all_univar_out|7820,0|0,011766134313629455|0,0032962895514475803|-0,00024010485821719126|0,00953109064281505|0,01170568391061879|0,01396957217186794|0,02452071504648468
Different|FIN - GBR|eur_multivar_out|7728,0|-0,006290351958727681|0,003447803807906719|-0,018155911174993513|-0,008619499281883181|-0,00633337693037507|-0,003970880289660457|0,006162004533707934
Different|FIN - GBR|eur_orig|7912,0|-0,005958969881154544|0,0034392818152339166|-0,01714014984777217|-0,00831816144205453|-0,006027342160500656|-0,003651714294823499|0,006599780545958178
Different|FIN - GBR|eur_univar_out|7820,0|-0,00604994440917608|0,003434834030792544|-0,017584460295932084|-0,008397946580369815|-0,006094445140018279|-0,003762407687693428|0,006419621835289089
Different|FIN - TSI|all_multivar_out|8004,0|0,0024579367707439088|0,003150463459437097|-0,008166790439772097|0,00033207044796337333|0,0023896574624006116|0,004584460411092452|0,014761722682097697
Different|FIN - TSI|all_orig|8372,0|0,0048933584547075325|0,0031253854030098174|-0,004942224455718442|0,002729848003812759|0,004827362833859315|0,006975907371643798|0,01749715413739613
Different|FIN - TSI|all_univar_out|8188,0|0,004225766091480131|0,0031303343993239873|-0,005620077933329985|0,0020461119939851036|0,004147726591620689|0,0063187383374562|0,017606746534562644
